framework,action_category,energy_action
Nightwatch,left click,0.2724891734694028
Nightwatch,left click,0.27163195918368865
Nightwatch,left click,0.27314153061224467
Nightwatch,left click,0.27106945918367426
Nightwatch,left click,0.26997924489795955
Nightwatch,left click,0.2712836734693887
Nightwatch,left click,0.2727036734694025
Nightwatch,left click,0.2712941734693718
Nightwatch,left click,0.26914081632653153
Nightwatch,left click,0.26899881632653017
Nightwatch,left click,0.27241845918368746
Nightwatch,left click,0.2691484591836621
Nightwatch,left click,0.2710684591836759
Nightwatch,left click,0.2691340306122568
Nightwatch,right click,0.35823594537814524
Nightwatch,right click,0.3545715336134199
Nightwatch,right click,0.36411653361344226
Nightwatch,right click,0.34102638655462186
Nightwatch,right click,0.35146462184874416
Nightwatch,right click,0.3563235924369697
Nightwatch,right click,0.3713038865546487
Nightwatch,right click,0.36427623949577487
Nightwatch,right click,0.349687710084058
Nightwatch,right click,0.3567475630252329
Nightwatch,right click,0.35749888655461876
Nightwatch,right click,0.3457334453781494
Nightwatch,right click,0.3499974159663858
Nightwatch,right click,0.3581019747898888
Nightwatch,right click,0.3553672689075571
Nightwatch,right click,0.35560035714283267
Nightwatch,right click,0.3461590336134686
Nightwatch,right click,0.34955579831932776
Nightwatch,right click,0.34117668067226375
Nightwatch,right click,0.3611744747899143
Nightwatch,right click,0.3632452100840127
Nightwatch,right click,0.34366829831933604
Nightwatch,right click,0.3605921218487283
Nightwatch,right click,0.35382653361343563
Nightwatch,right click,0.349099768907587
Nightwatch,right click,0.35306859243700167
Nightwatch,right click,0.3516156512605024
Nightwatch,right click,0.354244621848767
Nightwatch,right click,0.34911829831932184
Nightwatch,right click,0.35249447478991996
Nightwatch,right click,0.3488062394958214
Nightwatch,right click,0.3558812394957952
Nightwatch,right click,0.35107329831932577
Nightwatch,right click,0.3551646218487415
Nightwatch,right click,0.34955638655462096
Nightwatch,double click,0.3892158482142855
Nightwatch,double click,0.4068713169642854
Nightwatch,double click,0.4107772544642853
Nightwatch,double click,0.403260691964282
Nightwatch,double click,0.3977895982142814
Nightwatch,double click,0.3904633482142851
Nightwatch,double click,0.40076194196428216
Nightwatch,double click,0.40388412946428154
Nightwatch,double click,0.4066916294642806
Nightwatch,double click,0.40249881696428585
Nightwatch,double click,0.39310834821428275
Nightwatch,double click,0.41764741071428435
Nightwatch,double click,0.4051531919642854
Nightwatch,double click,0.3991977232142817
Nightwatch,double click,0.4010753794642823
Nightwatch,double click,0.4042155357142855
Nightwatch,double click,0.3996853794642857
Nightwatch,double click,0.40530772321428515
Nightwatch,double click,0.40343194196428483
Nightwatch,double click,0.4101556919642861
Nightwatch,double click,0.3899970982142854
Nightwatch,double click,0.39452662946428513
Nightwatch,double click,0.4028350669642906
Nightwatch,double click,0.39481881696428095
Nightwatch,double click,0.3987316294642824
Nightwatch,double click,0.39484053571428546
Nightwatch,double click,0.40328100446428605
Nightwatch,double click,0.40235600446428865
Nightwatch,double click,0.40296366071428513
Nightwatch,double click,0.39233678571428465
Nightwatch,double click,0.40436069196428315
Nightwatch,double click,0.4002885044642812
Nightwatch,double click,0.40593522321428577
Nightwatch,double click,0.4018775669642866
Nightwatch,double click,0.40966991071428255
Nightwatch,checkbox,0.6316627976190473
Nightwatch,checkbox,0.6339282142857087
Nightwatch,checkbox,0.6412442559523803
Nightwatch,checkbox,0.6245530059523753
Nightwatch,checkbox,0.6308265476190468
Nightwatch,checkbox,0.6320759226190467
Nightwatch,checkbox,0.6408207142857123
Nightwatch,checkbox,0.6424961309523808
Nightwatch,checkbox,0.6341619642857139
Nightwatch,checkbox,0.6345807142857144
Nightwatch,checkbox,0.6281207142857139
Nightwatch,checkbox,0.6339811309523861
Nightwatch,checkbox,0.6339509226190466
Nightwatch,checkbox,0.6420817559523812
Nightwatch,checkbox,0.6424725892857093
Nightwatch,checkbox,0.6395780059523803
Nightwatch,checkbox,0.6276832142857097
Nightwatch,checkbox,0.6401752976190414
Nightwatch,checkbox,0.6287438392857134
Nightwatch,checkbox,0.6349942559523805
Nightwatch,checkbox,0.6350213392857194
Nightwatch,checkbox,0.6385407142857145
Nightwatch,checkbox,0.6377311309523861
